# Rocketfuel topology converted to ndnSIM format
# Nodes: 1200, Links: 860
# Bandwidth: 10Gbps, Delay: 2ms

router

# node	comment	yPos	xPos
Node346	Dallas+TX	70	27
Node347	Pennsauken+NJ	84	72
Node348	Atlanta+GA	46	9
Node349	Dallas+TX	72	27
Node350	Relay+MD	44	78
Node351	Dallas+TX	74	27
Node352	Cheyenne+WY	26	18
Node353	Kansas+City+MO	26	42
Node354	Dallas+TX	76	27
Node355	Stockton+CA	64	105
Node356	Atlanta+GA	48	9
Node357	Seattle+WA	24	93
Node358	Relay+MD	46	78
Node359	New+York+NY	36	60
Node360	Dallas+TX	78	27
Node361	Kansas+City+MO	28	42
Node362	Relay+MD	48	78
Node363	Chicago+IL	76	21
Node364	Dallas+TX	80	27
Node365	Dallas+TX	82	27
Node366	Anaheim+CA	18	3
Node367	Relay+MD	50	78
Node368	Relay+MD	52	78
Node369	Dallas+TX	84	27
Node370	Dallas+TX	86	27
Node371	Roachdale+IN	10	87
Node372	Kansas+City+MO	30	42
Node373	Stockton+CA	66	105
Node374	Anaheim+CA	20	3
Node375	Anaheim+CA	22	3
Node376	New+York+NY	38	60
Node377	Relay+MD	54	78
Node378	Chicago+IL	78	21
Node379	Chicago+IL	80	21
Node380	San+Jose+CA	6	90
Node381	Chicago+IL	82	21
Node382	Relay+MD	56	78
Node383	Chicago+IL	84	21
Node384	Dallas+TX	88	27
Node385	Anaheim+CA	24	3
Node386	Stockton+CA	68	105
Node387	Chicago+IL	86	21
Node388	Stockton+CA	70	105
Node389	Roachdale+IN	12	87
Node390	Relay+MD	58	78
Node391	Atlanta+GA	50	9
Node392	Kansas+City+MO	32	42
Node393	Dallas+TX	90	27
Node394	Dallas+TX	92	27
Node395	Dallas+TX	94	27
Node396	Dallas+TX	96	27
Node397	Dallas+TX	98	27
Node398	Dallas+TX	100	27
Node399	Chicago+IL	88	21
Node400	Relay+MD	60	78
Node401	Kansas+City+MO	34	42
