run_id,scheme,seed,sweep_param,sweep_value,is_reference,oracle_flag,ctrl_bytes_per_sec,domain_acc,domain_recall_at_1,domain_recall_at_3,domain_recall_at_5,doc_hit_at_1,doc_hit_at_10,ndcg_at_10,p50_ms,p95_ms,mean_hops,total_queries,measurable_queries,mean_relset_size,singleton_queries,n_success,timeout_rate,unique_rtt_values,result_dir
tag_tagK16_s44,tag,44,tagK,16,0,0,55400.580000,0.672000,0.672000,0.696000,0.696000,0.088000,0.088000,0.088000,25.115400,45.477600,5.210000,500,500,10.288000,48,500,0.000000,430,results/sanr_baseline/accuracy_comparison/tag_tagK16_s44
tag_tagK32_s44,tag,44,tagK,32,1,0,110802.800000,0.696000,0.696000,0.720000,0.720000,0.088000,0.088000,0.088000,25.249800,46.074500,5.180000,500,500,10.288000,48,500,0.000000,393,results/sanr_baseline/accuracy_comparison/tag_tagK32_s44
tag_tagK64_s44,tag,44,tagK,64,0,0,221601.600000,0.752000,0.752000,0.776000,0.776000,0.112000,0.112000,0.112000,25.321200,46.529700,5.130000,500,500,10.288000,48,500,0.000000,344,results/sanr_baseline/accuracy_comparison/tag_tagK64_s44
sanr-tag_sim0.7_s42,sanr-tag,42,sim,0.7,0,0,110802.800000,0.724000,0.696000,0.720000,0.720000,0.148000,0.148000,0.148000,26.929600,50.298100,3.830000,500,500,10.288000,48,500,0.000000,439,results/sanr_baseline/accuracy_comparison/sanr-tag_sim0.7_s42
sanr-tag_sim0.75_s42,sanr-tag,42,sim,0.75,0,0,110802.800000,0.704000,0.696000,0.720000,0.720000,0.100000,0.100000,0.100000,27.048100,50.856800,4.900000,500,500,10.288000,48,500,0.000000,441,results/sanr_baseline/accuracy_comparison/sanr-tag_sim0.75_s42
sanr-tag_sim0.8_s42,sanr-tag,42,sim,0.8,1,0,110802.800000,0.704000,0.696000,0.720000,0.720000,0.088000,0.088000,0.088000,27.048100,50.943000,5.120000,500,500,10.288000,48,500,0.000000,441,results/sanr_baseline/accuracy_comparison/sanr-tag_sim0.8_s42
sanr-tag_sim0.85_s42,sanr-tag,42,sim,0.85,0,0,110802.800000,0.696000,0.696000,0.720000,0.720000,0.088000,0.088000,0.088000,27.073100,50.943000,5.150000,500,500,10.288000,48,500,0.000000,441,results/sanr_baseline/accuracy_comparison/sanr-tag_sim0.85_s42
sanr-tag_sim0.7_s43,sanr-tag,43,sim,0.7,0,0,110802.800000,0.724000,0.696000,0.720000,0.720000,0.148000,0.148000,0.148000,40.678900,69.354700,3.830000,500,500,10.288000,48,500,0.000000,379,results/sanr_baseline/accuracy_comparison/sanr-tag_sim0.7_s43
sanr-tag_sim0.75_s43,sanr-tag,43,sim,0.75,0,0,110802.800000,0.704000,0.696000,0.720000,0.720000,0.100000,0.100000,0.100000,40.684400,70.686600,4.900000,500,500,10.288000,48,500,0.000000,391,results/sanr_baseline/accuracy_comparison/sanr-tag_sim0.75_s43
sanr-tag_sim0.8_s43,sanr-tag,43,sim,0.8,1,0,110802.800000,0.704000,0.696000,0.720000,0.720000,0.088000,0.088000,0.088000,40.685800,70.749200,5.120000,500,500,10.288000,48,500,0.000000,391,results/sanr_baseline/accuracy_comparison/sanr-tag_sim0.8_s43
sanr-tag_sim0.85_s43,sanr-tag,43,sim,0.85,0,0,110802.800000,0.696000,0.696000,0.720000,0.720000,0.088000,0.088000,0.088000,40.685800,70.749200,5.150000,500,500,10.288000,48,500,0.000000,392,results/sanr_baseline/accuracy_comparison/sanr-tag_sim0.85_s43
sanr-tag_sim0.7_s44,sanr-tag,44,sim,0.7,0,0,110802.800000,0.724000,0.696000,0.720000,0.720000,0.148000,0.148000,0.148000,25.242900,45.265200,3.830000,500,500,10.288000,48,500,0.000000,380,results/sanr_baseline/accuracy_comparison/sanr-tag_sim0.7_s44
sanr-tag_sim0.75_s44,sanr-tag,44,sim,0.75,0,0,110802.800000,0.704000,0.696000,0.720000,0.720000,0.100000,0.100000,0.100000,25.248400,45.931600,4.900000,500,500,10.288000,48,500,0.000000,392,results/sanr_baseline/accuracy_comparison/sanr-tag_sim0.75_s44
sanr-tag_sim0.8_s44,sanr-tag,44,sim,0.8,1,0,110802.800000,0.704000,0.696000,0.720000,0.720000,0.088000,0.088000,0.088000,25.249800,46.074500,5.120000,500,500,10.288000,48,500,0.000000,392,results/sanr_baseline/accuracy_comparison/sanr-tag_sim0.8_s44
sanr-tag_sim0.85_s44,sanr-tag,44,sim,0.85,0,0,110802.800000,0.696000,0.696000,0.720000,0.720000,0.088000,0.088000,0.088000,25.249800,46.074500,5.150000,500,500,10.288000,48,500,0.000000,393,results/sanr_baseline/accuracy_comparison/sanr-tag_sim0.85_s44
central_proc2_s42,central,42,proc,2,1,1,1784.070000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,8.795900,13.437100,0.000000,500,500,10.288000,48,500,0.000000,121,results/sanr_baseline/accuracy_comparison/central_proc2_s42
central_proc4_s42,central,42,proc,4,0,1,1784.070000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,10.736700,15.437100,0.000000,500,500,10.288000,48,500,0.000000,125,results/sanr_baseline/accuracy_comparison/central_proc4_s42
central_proc8_s42,central,42,proc,8,0,1,1784.070000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,14.736700,19.437100,0.000000,500,500,10.288000,48,500,0.000000,125,results/sanr_baseline/accuracy_comparison/central_proc8_s42
central_proc12_s42,central,42,proc,12,0,1,1784.070000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,18.736700,23.437100,0.000000,500,500,10.288000,48,500,0.000000,125,results/sanr_baseline/accuracy_comparison/central_proc12_s42
central_proc2_s43,central,43,proc,2,1,1,1784.070000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,12.872000,16.819000,0.000000,500,500,10.288000,48,500,0.000000,122,results/sanr_baseline/accuracy_comparison/central_proc2_s43
central_proc4_s43,central,43,proc,4,0,1,1784.070000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,14.722900,18.819000,0.000000,500,500,10.288000,48,500,0.000000,125,results/sanr_baseline/accuracy_comparison/central_proc4_s43
central_proc8_s43,central,43,proc,8,0,1,1784.070000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,18.722900,22.819000,0.000000,500,500,10.288000,48,500,0.000000,125,results/sanr_baseline/accuracy_comparison/central_proc8_s43
central_proc12_s43,central,43,proc,12,0,1,1784.070000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,22.722900,26.819000,0.000000,500,500,10.288000,48,500,0.000000,125,results/sanr_baseline/accuracy_comparison/central_proc12_s43
central_proc2_s44,central,44,proc,2,1,1,1784.070000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,8.657500,12.621000,0.000000,500,500,10.288000,48,500,0.000000,122,results/sanr_baseline/accuracy_comparison/central_proc2_s44
central_proc4_s44,central,44,proc,4,0,1,1784.070000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,10.528000,14.621000,0.000000,500,500,10.288000,48,500,0.000000,125,results/sanr_baseline/accuracy_comparison/central_proc4_s44
central_proc8_s44,central,44,proc,8,0,1,1784.070000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,14.528000,18.621000,0.000000,500,500,10.288000,48,500,0.000000,125,results/sanr_baseline/accuracy_comparison/central_proc8_s44
central_proc12_s44,central,44,proc,12,0,1,1784.070000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,18.528000,22.621000,0.000000,500,500,10.288000,48,500,0.000000,125,results/sanr_baseline/accuracy_comparison/central_proc12_s44
